fuel_type,body_type,kilometer,transmission_type,owner_no,brand,model,model_year,price,registration_year,seats_count,RDO_no,car_engine_cc,mileage,color,gear_box,location,age
Petrol,SUV,10000,Automatic,1,Renault,Renault Kiger,2022,835000.0,2022,5,KA53,999,19.03,Others,5,bangalore,1
Petrol,Hatchback,19000,Manual,1,Hyundai,Hyundai Grand i10,2019,695000.0,2019,5,KA04,1197,18.9,Blue,5,bangalore,4
Petrol,SUV,14000,Automatic,1,Kia,Kia Seltos,2020,1725000.0,2020,5,KA01,1353,16.5,White,7,bangalore,3
Petrol,Hatchback,29268,Manual,1,Hyundai,Hyundai EON,2014,330000.0,2014,5,KA25,814,21.1,White,5,bangalore,9
Petrol,Sedan,20000,Automatic,1,Volkswagen,Volkswagen Vento,2019,990000.0,2019,5,KA01,1197,18.19,Others,7,bangalore,4
Petrol,Sedan,30000,Manual,1,Toyota,Toyota Yaris,2018,750000.0,2018,5,KA03,1496,17.1,Others,6,bangalore,5
Petrol,Hatchback,64374,Automatic,1,Honda,Honda Jazz,2018,755000.0,2018,6,,1199,19.0,Grey,5,bangalore,5
Diesel,SUV,30000,Manual,1,MG,MG Hector,2021,1750000.0,2021,5,KA27,1956,17.41,Others,6,bangalore,2
Petrol,SUV,7100,Automatic,1,Hyundai,Hyundai Alcazar,2022,2082999.9999999998,2022,6,KA03,1999,14.2,White,6,bangalore,1
Petrol,Hatchback,43679,Manual,1,Hyundai,Hyundai i10,2010,271000.0,2010,5,KA51,1086,19.81,Silver,5,bangalore,13
Petrol,SUV,40000,Automatic,1,Hyundai,Hyundai Creta,2018,1280000.0,2018,5,KA51,1591,14.8,Others,6,bangalore,5
Diesel,Hatchback,40562,Manual,1,Hyundai,Hyundai i20,2012,436000.00000000006,2012,5,KA51,1396,22.54,Red,6,bangalore,11
Petrol,SUV,26500,Automatic,2,Hyundai,Hyundai Creta,2021,1675000.0,2021,5,KA03,1397,13.0,White,7,bangalore,2
Petrol,SUV,20000,Automatic,1,Hyundai,Hyundai Venue,2019,1250000.0,2019,5,KA05,998,18.15,Others,7,bangalore,4
Diesel,SUV,58600,Automatic,1,Mahindra,Mahindra XUV500,2016,1350000.0,2016,7,KA05,2179,16.0,Silver,6,bangalore,7
Petrol,SUV,20000,Automatic,1,Hyundai,Hyundai Venue,2019,1250000.0,2019,5,KA05,998,18.15,Others,7,bangalore,4
Petrol,SUV,42050,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,2225000.0,2020,5,KA03,1498,18.4,White,7,bangalore,3
Petrol,Hatchback,65017,Automatic,1,Maruti,Maruti Celerio,2015,475000.0,2016,5,KA04,998,23.1,White,5,bangalore,7
